id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce
57021864,Casablanca,1389.0,79.0,Autre secteur,Appartement,3,1,https://www.avito.ma/fr/autre_secteur/maisons/Appartement_non_enregistr%C3%A9_au_rez_de_chauss%C3%A9e_%C3%A0_vendre__Hraouiyine_Jdid__prix_%C3%A0_discuter_57021864.htm
57019568,Marrakech,1799919.7,70.0,M'Hamid,Maison,6,2,https://www.avito.ma/fr/m_hamid/maisons/___Maison_commerciale_R_plus_2_%C3%A0_vendre_57019568.htm
57019501,Marrakech,5500154.4,500.0,Route d'Agadir - Essaouira,Maison,5,1,https://www.avito.ma/fr/route_d_agadir___essaouira/maisons/Maison_sur_la_route_d_Akfay_500_m%C3%A8tres_57019501.htm
57018707,Tanger,1650046.3,60.0,Branes Kdima,Maison,4,1,https://www.avito.ma/fr/branes_kdima/maisons/Maison_%C3%A0_trois_%C3%A9tages_avec_une_chambre_suppl%C3%A9mentaire_%C3%A0_vendre_57018707.htm
57018192,Casablanca,849942.1,256.0,Hay Mohammadi,Maison,20,9,https://www.avito.ma/fr/hay_mohammadi/maisons/Maison_%C3%A0_Hay_Mohammedi_%C3%A0_vendre_57018192.htm
57016929,Marrakech,249908.9,75.0,Arset El Houta,Maison,2,1,https://www.avito.ma/fr/arset_el_houta/maisons/Douar_Filala_57016929.htm
56171099,Marrakech,1349939.8,90.0,Route de Casablanca,Maison,3,1,https://www.avito.ma/fr/route_de_casablanca/maisons/VENTE_DUPLEX_AVEC_JARDIN_DE_STANDING_56171099.htm
57015936,Casablanca,3223.0,75.0,Hay Albaraka,Appartement,4,1,https://www.avito.ma/fr/hay_albaraka/maisons/Appartement_%C3%A0_vendre_57015936.htm
57015488,Marrakech,1199886.5,214.0,Annakhil,Maison,4,1,https://www.avito.ma/fr/annakhil/maisons/Maison_traditionnelle___Palmeraie_Marrakech_57015488.htm
57014885,Casablanca,169844.5,74.0,Sidi Othmane,Maison,1,1,https://www.avito.ma/fr/sidi_othmane/maisons/Maison_%C3%A0_vendre_Sidi_Othmane_Casablanca_2_fa%C3%A7ades_57014885.htm
57018114,Casablanca,5800261.0,200.0,Belvédère,Maison,8,3,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/maisons/Maison_%C3%A0_vendre_%C3%A0_Casablanca_57018114.htm
56884859,Marrakech,9990417.8,300.0,Les Portes de Marrakech,Maison,4,1,https://www.avito.ma/fr/les_portes_de_marrakech/maisons/MAISON_DE_300_M%C2%B2_TERRAIN_2000_M%C2%B2_56884859.htm
57011793,Tanger,1419928.6,93.0,Aharrarine,Maison,2,1,https://www.avito.ma/fr/aharrarine/maisons/Maison_semi_fini_57011793.htm
57011758,Marrakech,1499993.0,80.0,Massira 2,Maison,7,2,https://www.avito.ma/fr/massira_2/maisons/Maison_commerciale_%C3%A0_vendre_%C3%A0_Marrakech__Massira_57011758.htm
57010436,Casablanca,2890.0,121.70270270270271,Ain Sebaa,Appartement,3,1,https://www.avito.ma/fr/ain_sebaa/maisons/Appartement_57010436.htm
56911361,Tanger,4500159.0,90.0,Al Kasaba,Maison,7,2,https://www.avito.ma/fr/al_kasaba/maisons/Maison_ind%C3%A9pendante_en_vente_56911361.htm
57010200,Marrakech,2600023.9,60.0,Autre secteur,Maison,4,1,https://www.avito.ma/fr/autre_secteur/maisons/Maison_%C3%A0_vendre_sur_la_route_de_Tamanarasset__douar_Ait_Massoud_57010200.htm
57010075,Tanger,599853.3,50.0,Zouitina,Maison,7,2,https://www.avito.ma/fr/zouitina/maisons/Maison_%C3%A0_vendre_%C3%A0_Tanger__quartier_Zawitina__50_m%C3%A8tres__propri%C3%A9t%C3%A9_57010075.htm
57007972,Casablanca,4000161.4,450.0,Hay Hassani,Maison,10,4,https://www.avito.ma/fr/hay_hassani/maisons/Maison_de_450m2_2_fa%C3%A7ades_%C3%A0_8_mn_du_Morocco_Mall_57007972.htm
57007301,Casablanca,1556.0,50.0,Sidi Bernoussi,Appartement,2,1,https://www.avito.ma/fr/sidi_bernoussi/maisons/Appartement_%C3%A0_vendre_dans_le_quartier_Anassi_de_Casablanca_57007301.htm
57007040,Marrakech,759982.1,160.0,Route de Sidi A. Ghiat,Villa,7,2,https://www.avito.ma/fr/route_de_sidi_a._ghiat/maisons/_route_de_ait_ourir_douar_bkkar__chwitre_57007040.htm
57006788,Marrakech,959873.2,72.0,Route de Tamansourt,Maison,6,2,https://www.avito.ma/fr/route_de_tamansourt/maisons/Marrakech_Tamnsourt_tranche_8_lettre_g_57006788.htm
56973858,Marrakech,2300097.3,95.0,M'Hamid,Maison,9,3,https://www.avito.ma/fr/m_hamid/maisons/Maison_95m%C2%B2_%C3%A0_vendre_Mhamid_3_Marrakech_56973858.htm
57005406,Casablanca,3800090.3,300.0,Oulfa,Maison,6,2,https://www.avito.ma/fr/oulfa/maisons/Belle_maison_%C3%A0_vendre_57005406.htm
57004982,Casablanca,110005786.8,54.0,Al Fida,Maison,1,1,https://www.avito.ma/fr/al_fida/maisons/Maison_%C3%A0_vendre_57004982.htm
57002030,Tanger,2600023.9,100.0,Centre,Maison,8,3,https://www.avito.ma/fr/centre/maisons/Maison_%C3%A0_vendre_57002030.htm
57001393,Tanger,550015.4,57.0,Jbel Kbir,Maison,2,1,https://www.avito.ma/fr/jbel_kbir/maisons/Maison_libre_%C3%A0_Jbel_Kbir_Tanger__judiciaire__pouvant_%C3%AAtre_r%C3%A9duite_57001393.htm
56999671,Tanger,1899955.2,85.0,Tanja Balia,Maison,6,2,https://www.avito.ma/fr/tanja_balia/maisons/Maison_%C3%A0_vendre_56999671.htm
56999514,Casablanca,3650037.0,110.0,2 Mars,Maison,6,2,https://www.avito.ma/fr/2_mars/maisons/Maison_%C3%A0_vendre_bd_2_mars_56999514.htm
56997545,Tanger,749906.6,50.0,Mesnana,Maison,2,1,https://www.avito.ma/fr/mesnana/maisons/Maison_neuve_56997545.htm
56997561,Marrakech,519968.8,115.0,Route de Lalla Takerkoust,Maison,3,1,https://www.avito.ma/fr/route_de_lalla_takerkoust/maisons/maison_de_campagne_56997561.htm
56996891,Tanger,2550006.2,200.0,Al Kasaba,Maison,4,1,https://www.avito.ma/fr/al_kasaba/maisons/Maison_avec_vue_sur_d%C3%A9troit_de_Gibraltar_56996891.htm
56995467,Marrakech,2200061.8,105.0,Sakar,Maison,5,1,https://www.avito.ma/fr/sakar/maisons/Maison_de_105_m%C3%A8tres_%C3%A0_Marrakech_56995467.htm
55856086,Rabat,4000161.4,274.0,Agdal,Villa,7,1,https://www.avito.ma/fr/agdal/maisons/DUPLEX_%C3%80_VENDRE___RABAT__BAS_AGDAL_55856086.htm
56995069,Tanger,1849937.4,85.0,Tanja Balia,Maison,6,2,https://www.avito.ma/fr/tanja_balia/maisons/Maison_libre_%C3%A0_vendre_56995069.htm
56999307,Casablanca,5200227.8,124.0,Oulfa,Maison,6,2,https://www.avito.ma/fr/oulfa/maisons/maison_124m_grand_boulevard_haj_fateh_56999307.htm
56999115,Marrakech,139977.8,100.0,Autre secteur,Maison,5,1,https://www.avito.ma/fr/autre_secteur/maisons/Vendre_le_bien_56999115.htm
56998736,Casablanca,2399952.9,100.0,Aïn Chock,Maison,8,3,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Maison_%C3%A0_vendre_avec_deux_fa%C3%A7ades_100m_dans_le_quartier_Moulay_Abdallah_Ain_Chock_56998736.htm
56993515,Rabat,2501.0,50.0,El Youssoufia,Appartement,2,1,https://www.avito.ma/fr/el_youssoufia/maisons/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Rabat_56993515.htm
56993094,Marrakech,17230.0,144.0,M'Hamid,Appartement,6,2,https://www.avito.ma/fr/m_hamid/maisons/Maison_avec_2_locaux_commerciaux_et_2_appartements_56993094.htm
56992907,Marrakech,1600028.6,80.0,Route d'Ourika,Maison,9,3,https://www.avito.ma/fr/route_d_ourika/maisons/Maison_%C3%A0_vendre_R_plus_3_56992907.htm
56961578,Casablanca,3200057.1,405.0,Oulfa,Maison,3,1,https://www.avito.ma/fr/oulfa/maisons/MAISON_OULFA_HAMMOU_56961578.htm
56991577,Marrakech,1349939.8,90.0,Route d'Amezmiz,Maison,6,2,https://www.avito.ma/fr/route_d_amezmiz/maisons/Maison_construite_GROS_OEUVRE_CHERIFIA_56991577.htm
56991072,Casablanca,3200057.1,400.0,Aïn Chock,Maison,6,2,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Belle_maison_%C3%A0_vendre_100m_dans_le_quartier_M__Abdullah_56991072.htm
56989431,Tanger,1799919.7,100.0,Drissia,Maison,6,2,https://www.avito.ma/fr/drissia/maisons/Dresia_pr%C3%A8s_de_la_quincaillerie_56989431.htm
56987579,Tanger,729935.4,85.0,Hanaa 3 - Soussi,Maison,3,1,https://www.avito.ma/fr/hanaa_3___soussi/maisons/Maison_%C3%A0_vendre_avec_3_fa%C3%A7ades_56987579.htm
