id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce
57046938,Casablanca,5000.0,56.0,Maarif,Appartement,2,1,https://www.avito.ma/fr/maarif/appartements/STUDIO_MEUBL%C3%89_%C3%80_LOUER_%C3%80_MAARIF_57046938.htm
57046892,Casablanca,5000.0,113.0,2 Mars,Appartement,3,1,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_louer_113_m%C2%B2_%C3%A0_Casablanca_57046892.htm
57013004,Rabat,13000.0,150.0,Autre secteur,Appartement,5,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_%C3%A0_Harhoura_57013004.htm
57046372,Casablanca,4500.0,80.0,Roches Noires,Appartement,3,1,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_louer_%C3%A0_Rouche_Noir_4500dh_57046372.htm
57046329,Tanger,5800.0,125.0,Val Fleuri,Maison,4,1,https://www.avito.ma/fr/val_fleuri/appartements/Val_Fleury_pr%C3%A8s_de_l_%C3%A9cole_Arslan_57046329.htm
57046241,Tanger,3000.0,65.0,Azib Haj Kaddour,Appartement,3,1,https://www.avito.ma/fr/azib_haj_kaddour/appartements/location_d_appartement_57046241.htm
56977869,Casablanca,5300.0,100.0,Oulfa,Appartement,5,1,https://www.avito.ma/fr/oulfa/appartements/Tr%C3%A8s_belle_appartement_%C3%A0_louer_%C3%A0_Oulfa_Zoubir_56977869.htm
57045997,Casablanca,6300.0,87.0,Maarif,Appartement,3,1,https://www.avito.ma/fr/maarif/appartements/Appartement_87m_Haut_Standing_A_Val_Fleuri_57045997.htm
57045943,Casablanca,7500.0,102.0,Les Princesses,Appartement,3,1,https://www.avito.ma/fr/les_princesses/appartements/appartement_%C3%A0_louer_%C3%A0_maarif_les_princesses_57045943.htm
57045852,Casablanca,5500.0,100.0,Ain Sebaa,Appartement,4,1,https://www.avito.ma/fr/ain_sebaa/appartements/appartement_%C3%A0_louer_en_Ain_Sba%C3%A2_57045852.htm
57045739,Casablanca,6500.0,47.0,Riviera,Appartement,2,1,https://www.avito.ma/fr/riviera/appartements/Appartement_%C3%A0_louer_47_m%C2%B2_%C3%A0_Casablanca_57045739.htm
57045684,Casablanca,6500.0,130.0,Beauséjour,Appartement,5,1,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_%C3%A0_louer_130_m%C2%B2_%C3%A0_Casablanca_57045684.htm
57045652,Marrakech,9000.0,201.0,Bd Moulay Abdellah,Villa,3,1,https://www.avito.ma/fr/bd_moulay_abdellah/villas_et_riads/152695_Villa_%C3%A0_louer_%C3%A0_9000DH_%C3%A0_Boulvard_Moulay_Ab_57045652.htm
57045477,Casablanca,5700.0,47.0,Quartier des Hôpitaux,Appartement,2,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_%C3%A0_louer_47_m%C2%B2_%C3%A0_Casablanca_57045477.htm
57014095,Casablanca,7000.0,48.0,Quartier des Hôpitaux,Appartement,2,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Studios_meubl%C3%A9s_%C3%A0_louer_Boulevard_Anoual_57014095.htm
57045291,Tanger,6000.0,108.0,Marjane,Appartement,4,1,https://www.avito.ma/fr/marjane/appartements/Appartement_%C3%A0_louer_%C3%A0_Tanger__Maison_de_la_Presse_pr%C3%A8s_de_Marjane_57045291.htm
57045257,Rabat,12500.0,150.0,Agdal,Appartement,4,1,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_%C3%A0_proximit%C3%A9_du_Caf%C3%A9_Paul_Agdal_57045257.htm
56747695,Casablanca,2000.0,71.0,2 Mars,Maison,2,1,https://www.avito.ma/fr/2_mars/appartements/Chambre_Meubl%C3%A9e__1_fille__2Mars_sans_cautionnement_56747695.htm
57045122,Casablanca,3000.0,80.0,Sidi Maarouf,Maison,3,1,https://www.avito.ma/fr/sidi_maarouf/appartements/Appart_Sidi_Maarouf_57045122.htm
57044731,Casablanca,3100.0,60.0,Oulfa,Appartement,2,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_60_m%C2%B2_%C3%A0_Casablanca_57044731.htm
57044692,Casablanca,3500.0,55.0,Oulfa,Appartement,3,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_55_m%C2%B2_%C3%A0_Casablanca_57044692.htm
57044688,Casablanca,3000.0,70.0,Oulfa,Appartement,3,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_70_m%C2%B2_%C3%A0_Casablanca_57044688.htm
57044681,Casablanca,2100.0,56.0,Oulfa,Appartement,3,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_56_m%C2%B2_%C3%A0_Casablanca_57044681.htm
57015775,Rabat,30000.0,450.0,Hassan,Villa,6,2,https://www.avito.ma/fr/hassan/villas_et_riads/%C3%80_louer_Villa_r%C3%A9nov%C3%A9e_de_450_m%C2%B2_au_quartier_Hassan_57015775.htm
56916753,Casablanca,7500.0,76.0,Gauthier,Appartement,2,1,https://www.avito.ma/fr/gauthier/appartements/Studio_avec_une_grande_terrasse_%C3%A0_Gauthier_56916753.htm
57044146,Casablanca,2500.0,60.0,Roches Noires,Appartement,2,1,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_louer_60_m%C2%B2_%C3%A0_Casablanca_57044146.htm
57044111,Casablanca,5000.0,76.0,Ain Sebaa,Maison,3,1,https://www.avito.ma/fr/ain_sebaa/appartements/Chic_appart_%C3%A0_Ain_Sebaa_5000dh_57044111.htm
56916790,Casablanca,8000.0,50.0,Ferme Bretone,Appartement,2,1,https://www.avito.ma/fr/ferme_bretone/appartements/Studio_Traversant_%C3%A0_La_Ferme_Bretonne_56916790.htm
57044052,Marrakech,11000.0,100.0,Guéliz,Appartement,4,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_3_chambres_terrasse_gu%C3%A9liz_57044052.htm
57043990,Rabat,2500.0,50.0,Hay Nahda,Appartement,2,1,https://www.avito.ma/fr/hay_nahda/appartements/studio_%C3%A0_louer_%C3%A0_rabat_hay_nahda_1_57043990.htm
57015132,Casablanca,3200.0,54.0,Mers Sultan,Maison,2,1,https://www.avito.ma/fr/mers_sultan/appartements/grand_Loft_de_50m2_Mers_sultan_location_Fille_57015132.htm
57003206,Casablanca,12000.0,75.0,Casablanca Finance City,Appartement,2,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/STUDIO_VUE_PARK_CFC_57003206.htm
57043658,Casablanca,6500.0,52.0,Palmier,Appartement,2,1,https://www.avito.ma/fr/palmier/appartements/Palmier___Appartement_neuf_haut_standing_57043658.htm
57043519,Marrakech,400.0,71.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_calme_pr%C3%A8s_de_la_gare_de_train_Zara_Gueliz_57043519.htm
