id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
1390,Casablanca,9000.0,145.0,Palmier,Appartement,3,2,https://www.mubawab.ma/fr/a/8080774/location-appartement-quartier-palmier-casablanca
1396,Casablanca,12000.0,132.0,Oulfa,Appartement,3,2,https://www.mubawab.ma/fr/a/8288190/appartement-3-chambres-neuf-en-location
1402,Rabat,45000.0,4000.0,Souissi,Villa,5,5,https://www.mubawab.ma/fr/a/8185074/av-med-6-villa-avec-piscine-vue-sur-for%C3%AAt-%C3%A0-louer
1403,Tanger,16500.0,93.0,Malabata,Appartement,2,2,https://www.mubawab.ma/fr/a/8268304/appartement-r%C3%A9sidentiel-haut-standing-avec-piscine
1404,Casablanca,9500.0,125.0,Les princesses,Appartement,3,2,https://www.mubawab.ma/fr/a/8286237/appartement-meubl%C3%A9-%C3%A0-louer-sur-les-princesses-125
1405,Casablanca,31000.0,260.0,Ain Diab,Appartement,4,4,https://www.mubawab.ma/fr/a/8275852/appartement-%C3%A0-louer-%C3%A0-ain-diab-4-chambres-agr%C3%A9ables-garage
1406,Rabat,9500.0,100.0,Riyad,Appartement,2,3,https://www.mubawab.ma/fr/a/8109982/appartement-a-louer
1407,Marrakech,30000.0,300.0,Ennakhil (Palmeraie),Villa,3,3,https://www.mubawab.ma/fr/a/8284664/villa-neuve-%C3%A0-louer-vide-3-suites-r%C3%A9s-ac-piscine
1408,Marrakech,25000.0,250.0,Ennakhil (Palmeraie),Villa,3,3,https://www.mubawab.ma/fr/a/8284663/villa-%C3%A0-louer-vide-3-suites-r%C3%A9s-ac-piscine
1409,Marrakech,90000.0,648.0,Amelkis,Villa,7,6,https://www.mubawab.ma/fr/a/8028397/villa-front-golf-%C3%A0-louer-meubl%C3%A9-en-7-ch-piscine
1410,Marrakech,38000.0,300.0,Agdal,Villa,4,4,https://www.mubawab.ma/fr/a/8284674/almaaden-villa-riad-%C3%A0-louer-vide-4ch-piscine-chauff%C3%A9e
