id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce,date_annonce
57445681,Marrakech,10004 DH,336 m2,Route de Fès,Maison,7,0,https://www.avito.ma/fr/route_de_f%C3%A8s/maisons/Maison_%C3%A0_vendre_336_m%C2%B2_km_12_RT_de_F%C3%A8s_57445681.htm,il y a 6 jours
57444810,Marrakech,1222 DH,120 m2,Autre secteur,Maison,1,0,https://www.avito.ma/fr/autre_secteur/maisons/Maison_%C3%A0_qui_%C3%A7a_int%C3%A9resse__bienvenue_57444810.htm,il y a 6 jours
57444006,Marrakech,19454 DH,84 m2,Ben Saleh,Maison,8,0,https://www.avito.ma/fr/ben_saleh/maisons/Maison_rentable_%C3%A0_vendre_%C3%A0_Ben_Saleh__Marrakech___57444006.htm,il y a 1 semaine
57394466,Casablanca,22789 DH,248 m2,Californie,null,6,0,https://www.avito.ma/fr/californie/maisons/Duplex_%C3%A0_vendre_57394466.htm,il y a 1 semaine
57466709,Casablanca,13339 DH,90 m2,Aïn Chock,Maison,9,0,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Maison_%C3%A0_vendre_Hay_El_Ousra_57466709.htm,il y a 1 jour
57465892,Casablanca,13895 DH,100 m2,Aïn Chock,Maison,10,0,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Maison_%C3%A0_vendre_Chouka_3_%C3%A9tages_57465892.htm,il y a 1 jour
57443076,Rabat,90 DH,60 m2,Autre secteur,Maison,3,0,https://www.avito.ma/fr/autre_secteur/maisons/Maison_%C3%A0_vendre_57443076.htm,il y a 1 semaine
57418097,Casablanca,23900 DH,158 m2,Oulfa,null,8,0,https://www.avito.ma/fr/oulfa/maisons/Immeuble_R_plus_2_%C3%A0_vendre_158_m2_57418097.htm,il y a 1 semaine
57442521,Casablanca,16674 DH,99 m2,Oulfa,Maison,3,0,https://www.avito.ma/fr/oulfa/maisons/CMN_HA_1947___Maison_%C3%A0_vendre_%C3%A0_Oulfa_57442521.htm,il y a 1 semaine
57442120,Casablanca,12228 DH,210 m2,Florida,Maison,6,0,https://www.avito.ma/fr/florida/maisons/Maison__entr%C3%A9e_privative_a_Florida_Sidi_Maarouf_57442120.htm,il y a 1 semaine
57067030,Casablanca,12228 DH,76 m2,Sidi Maarouf,Maison,6,0,https://www.avito.ma/fr/sidi_maarouf/maisons/Maison_%C3%A0_vendre_%C3%A0_Sidi_Maarouf__trois_%C3%A9tages_57067030.htm,il y a 1 jour
57464184,Casablanca,27235 DH,124 m2,Oulfa,Maison,6,0,https://www.avito.ma/fr/oulfa/maisons/Maison_grand_boulevard_haj_fateh124m_57464184.htm,il y a 1 jour
57029300,Tanger,25846 DH,113 m2,Ahlane,Maison,12,0,https://www.avito.ma/fr/ahlane/maisons/Maison_enregistr%C3%A9e_avec_deux_fa%C3%A7ades_%C3%A0_vendre_%C3%A0_Ahla_57029300.htm,il y a 2 heures
57346043,Casablanca,16674 DH,287 m2,Hay Laymouna,Maison,7,0,https://www.avito.ma/fr/hay_laymouna/maisons/Maison_double_fa%C3%A7ade_287_m%C2%B2_habitable_4_niveaux_57346043.htm,il y a 23 heures
